"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,95.367431640625
106.478597782335,114.44091796875
113.376917856923,114.44091796875
120.722152342881,114.44091796875
128.543255027354,133.514404296875
136.871055496897,133.514404296875
145.738380662977,152.587890625
155.18018416062,152.587890625
165.233684130273,171.661376953125
175.938509926007,171.661376953125
187.336858328347,190.73486328125
199.473659877503,190.73486328125
212.396755982669,209.808349609375
226.157087505514,228.8818359375
240.808895561239,247.955322265625
256.409935328735,247.955322265625
273.021703712629,267.02880859375
290.709681754648,286.102294921875
309.543592749837,305.17578125
329.597677085088,324.249267578125
350.95098488335,343.32275390625
373.687687607086,381.4697265625
397.897409849257,400.543212890625
423.675582619719,419.61669921875
451.123819519615,457.763671875
480.350317286597,476.837158203125
511.470282289765,514.984130859375
544.606384655492,553.131103515625
579.889241814237,572.20458984375
617.457933374413,610.3515625
657.460549352859,648.49853515625
700.054773922961,705.718994140625
745.408506981463,743.865966796875
793.7005259841,801.08642578125
845.121190658887,839.2333984375
899.873193374956,896.453857421875
958.172358124772,953.67431640625
1020.24849126919,1010.89477539062
1086.34628739886,1087.18872070313
1156.72629388276,1163.48266601562
1231.66593790594,1239.77661132812
1311.46062004488,1316.07055664063
1396.42487869131,1392.36450195312
1486.89362991418,1487.73193359375
1583.22348764748,1583.09924316406
1685.79416940761,1678.466796875
1795.00999308158,1792.90771484375
1911.30147068606,1907.3486328125
2035.12700537966,2040.86291503906
2166.97469841788,2174.37744140625
2307.36427317334,2307.89184570312
2456.84912380554,2460.47973632812
2616.01849665572,2613.06762695313
2785.49981296553,2784.72900390625
2965.96114207526,2975.4638671875
3158.11383485066,3166.19848632812
3362.71532771891,3356.93359375
3580.57212836675,3585.8154296875
3812.54299487002,3814.697265625
4059.54232078623,4062.65258789062
4322.54373955363,4329.681640625
4602.58396240481,4596.7099609375
4900.76686492327,4901.8857421875
5218.2678383516,5226.13525390625
5556.33842280334,5550.384765625
5916.3112406421,5912.78076171875
6299.60524947437,6294.25048828125
6707.73133546268,6713.8671875
7142.29826900695,7133.48388671875
7605.01904627058,7610.3212890625
8097.71764154841,8106.2314453125
8622.33619709351,8621.2158203125
9180.94267874387,9174.3466796875
9775.73902752641,9784.6982421875
10409.0698393706,10414.123046875
11083.4316071457,11081.6953125
11801.4825614529,11806.48828125
12566.0531489618,12569.427734375
13380.1571895975,13389.587890625
14247.0037565557,14247.89453125
15170.0098259771,15163.421875
16152.8137461428,16155.2431640625
17199.2895792851,17204.28515625
18313.5623725461,18310.546875
19500.0244182803,19493.103515625
20763.3525677978,20771.02734375
22108.5266667936,22106.169921875
23540.8491851354,23536.681640625
