"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,97.8549423217773
106.478597782335,106.062812805176
113.376917856923,102.55500793457
120.722152342881,109.037719726562
128.543255027354,136.975372314453
136.871055496897,137.071243286133
145.738380662977,145.416778564453
155.18018416062,144.706268310547
165.233684130273,165.134002685547
175.938509926007,165.36003112793
187.336858328347,187.155532836914
199.473659877503,199.398193359375
212.396755982669,202.229217529297
226.157087505514,235.641738891602
240.808895561239,240.738967895508
256.409935328735,256.406616210937
273.021703712629,273.026214599609
290.709681754648,290.622009277344
309.543592749837,299.497436523437
329.597677085088,319.608825683594
350.95098488335,350.952362060547
373.687687607086,373.674957275391
397.897409849257,397.962463378906
423.675582619719,423.659362792969
451.123819519615,451.154388427734
480.350317286597,480.325378417969
511.470282289765,511.454711914063
544.606384655492,544.592956542969
579.889241814237,579.864562988281
617.457933374413,617.500305175781
657.460549352859,657.4580078125
700.054773922961,700.070068359375
745.408506981463,745.408081054687
793.7005259841,793.697509765625
845.121190658887,845.120239257812
899.873193374956,899.873168945312
958.172358124772,958.162658691406
1020.24849126919,1020.24920654297
1086.34628739886,1086.34387207031
1156.72629388276,1156.72668457031
1231.66593790594,1231.67443847656
1311.46062004488,1311.4609375
1396.42487869131,1396.42846679687
1486.89362991418,1486.89233398437
1583.22348764748,1583.21728515625
1685.79416940761,1685.79968261719
1795.00999308158,1795.01135253906
1911.30147068606,1911.3037109375
2035.12700537966,2035.12744140625
2166.97469841788,2166.97827148437
2307.36427317334,2307.37646484375
2456.84912380554,2456.849609375
2616.01849665572,2616.02075195312
2785.49981296553,2785.5068359375
2965.96114207526,2965.95922851562
3158.11383485066,3158.1142578125
3362.71532771891,3362.71655273437
3580.57212836675,3580.57836914062
3812.54299487002,3812.54248046875
4059.54232078623,4059.54125976562
4322.54373955363,4322.548828125
4602.58396240481,4602.56640625
4900.76686492327,4900.765625
5218.2678383516,5218.26806640625
5556.33842280334,5556.341796875
5916.3112406421,5916.31005859375
6299.60524947437,6299.60791015625
6707.73133546268,6707.73291015625
7142.29826900695,7142.2978515625
7605.01904627058,7605.01806640625
8097.71764154841,8097.71533203125
8622.33619709351,8622.33203125
9180.94267874387,9180.9375
9775.73902752641,9775.7373046875
10409.0698393706,10409.0634765625
11083.4316071457,11083.43359375
11801.4825614529,11801.4775390625
12566.0531489618,12566.052734375
13380.1571895975,13380.154296875
14247.0037565557,14247.0048828125
15170.0098259771,15169.953125
16152.8137461428,16152.818359375
17199.2895792851,17199.29296875
18313.5623725461,18313.56640625
19500.0244182803,19500.03125
20763.3525677978,20763.35546875
22108.5266667936,22108.525390625
23540.8491851354,23540.84375
25065.9661183864,25065.9609375
26689.889243453,26689.884765625
28419.019816087,28419.01953125
30260.1738036533,30260.1796875
32220.6087526275,32220.619140625
34308.05239673,34308.05078125
36530.7331184669,36530.73046875
38897.4123841505,38897.40625
41417.4192802558,41417.421875
44100.6872872468,44100.6953125
46957.7934358328,46957.80078125
50000.0000000001,49999.9921875

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,-64.9059572700931
106.478597782335,-63.9159216915394
113.376917856923,-62.8298288740191
120.722152342881,-61.7266859076169
128.543255027354,-60.7744675968775
136.871055496897,-59.647683282868
145.738380662977,-58.5623505871263
155.18018416062,-57.534989174406
165.233684130273,-56.457010895932
175.938509926007,-55.3562345693419
187.336858328347,-54.3018483163829
199.473659877503,-53.2028587009994
212.396755982669,-52.1107645363073
226.157087505514,-51.0355458389869
240.808895561239,-49.9372697220493
256.409935328735,-48.8604829576444
273.021703712629,-47.764676140585
290.709681754648,-46.6766923086987
309.543592749837,-45.5787711746084
329.597677085088,-44.4846532437297
350.95098488335,-43.3980315146069
373.687687607086,-42.3013383577455
397.897409849257,-41.2124707661689
423.675582619719,-40.1188070517305
451.123819519615,-39.0236425333481
480.350317286597,-37.925794512495
511.470282289765,-36.828813689305
544.606384655492,-35.7304036697429
579.889241814237,-34.6313619665157
617.457933374413,-33.5312587181114
657.460549352859,-32.4287638291189
700.054773922961,-31.3250560884324
745.408506981463,-30.219998265527
793.7005259841,-29.112345507682
845.121190658887,-28.0016580923957
899.873193374956,-26.8895089556018
958.172358124772,-25.7747900329413
1020.24849126919,-24.6558793556766
1086.34628739886,-23.5343100455913
1156.72629388276,-22.4087990292493
1231.66593790594,-21.2786625501054
1311.46062004488,-20.1436870172112
1396.42487869131,-19.0044867778307
1486.89362991418,-17.860566364226
1583.22348764748,-16.7111299331015
1685.79416940761,-15.5564822320528
1795.00999308158,-14.3982771393008
1911.30147068606,-13.2357203473498
2035.12700537966,-12.0708896783231
2166.97469841788,-10.9058611266519
2307.36427317334,-9.74516665446921
2456.84912380554,-8.59341497401526
2616.01849665572,-7.45377113380231
2785.49981296553,-6.3639578840045
2965.96114207526,-5.29661977561491
3158.11383485066,-4.28804308448912
3362.71532771891,-3.35661401975848
3580.57212836675,-2.52250925828039
3812.54299487002,-1.78206970740654
4059.54232078623,-1.20761997503699
4322.54373955363,-0.744167169624178
4602.58396240481,-0.405549072081973
4900.76686492327,-0.177183720100343
5218.2678383516,-0.0399513080696835
5556.33842280334,0.0258290540876501
5916.3112406421,0.0373189288729484
6299.60524947437,0.0115391690347854
6707.73133546268,-0.0385409042913045
7142.29826900695,-0.103344543835147
7605.01904627058,-0.176493489050881
8097.71764154841,-0.25173484752265
8622.33619709351,-0.326514859204947
9180.94267874387,-0.399236908650848
9775.73902752641,-0.468634398466544
10409.0698393706,-0.532557946787565
11083.4316071457,-0.590911024472287
11801.4825614529,-0.643546666069904
12566.0531489618,-0.692113614361734
13380.1571895975,-0.73608294238726
14247.0037565557,-0.775826213113189
15170.0098259771,-0.813105862812037
16152.8137461428,-0.845402584161442
17199.2895792851,-0.874128469698624
18313.5623725461,-0.899909412522216
19500.0244182803,-0.924379057134849
20763.3525677978,-0.944738750274514
22108.5266667936,-0.961200880439198
23540.8491851354,-0.976737202352093
25065.9661183864,-0.990524756743058
26689.889243453,-1.00444115710691
28419.019816087,-1.01880829195676
30260.1738036533,-1.03324861388411
32220.6087526275,-1.0403661567812
34308.05239673,-1.05012235783791
36530.7331184669,-1.05951033752702
38897.4123841505,-1.07072684230899
41417.4192802558,-1.07843090888791
44100.6872872468,-1.08437674443136
46957.7934358328,-1.09460783009054
50000.0000000001,-1.10811098278751

