Frecuencia, Modulo
100,-64.9059572700931
106.478597782335,-63.9159216915394
113.376917856923,-62.8298288740191
120.722152342881,-61.7266859076169
128.543255027354,-60.7744675968775
136.871055496897,-59.647683282868
145.738380662977,-58.5623505871263
155.18018416062,-57.534989174406
165.233684130273,-56.457010895932
175.938509926007,-55.3562345693419
187.336858328347,-54.3018483163829
199.473659877503,-53.2028587009994
212.396755982669,-52.1107645363073
226.157087505514,-51.0355458389869
240.808895561239,-49.9372697220493
256.409935328735,-48.8604829576444
273.021703712629,-47.764676140585
290.709681754648,-46.6766923086987
309.543592749837,-45.5787711746084
329.597677085088,-44.4846532437297
350.95098488335,-43.3980315146069
373.687687607086,-42.3013383577455
397.897409849257,-41.2124707661689
423.675582619719,-40.1188070517305
451.123819519615,-39.0236425333481
480.350317286597,-37.925794512495
511.470282289765,-36.828813689305
544.606384655492,-35.7304036697429
579.889241814237,-34.6313619665157
617.457933374413,-33.5312587181114
657.460549352859,-32.4287638291189
700.054773922961,-31.3250560884324
745.408506981463,-30.219998265527
793.7005259841,-29.112345507682
845.121190658887,-28.0016580923957
899.873193374956,-26.8895089556018
958.172358124772,-25.7747900329413
1020.24849126919,-24.6558793556766
1086.34628739886,-23.5343100455913
1156.72629388276,-22.4087990292493
1231.66593790594,-21.2786625501054
1311.46062004488,-20.1436870172112
1396.42487869131,-19.0044867778307
1486.89362991418,-17.860566364226
1583.22348764748,-16.7111299331015
1685.79416940761,-15.5564822320528
1795.00999308158,-14.3982771393008
1911.30147068606,-13.2357203473498
2035.12700537966,-12.0708896783231
2166.97469841788,-10.9058611266519
2307.36427317334,-9.74516665446921
2456.84912380554,-8.59341497401526
2616.01849665572,-7.45377113380231
2785.49981296553,-6.3639578840045
2965.96114207526,-5.29661977561491
3158.11383485066,-4.28804308448912
3362.71532771891,-3.35661401975848
3580.57212836675,-2.52250925828039
3812.54299487002,-1.78206970740654
4059.54232078623,-1.20761997503699
4322.54373955363,-0.744167169624178
4602.58396240481,-0.405549072081973
4900.76686492327,-0.177183720100343
5218.2678383516,-0.0399513080696835
5556.33842280334,0.0258290540876501
5916.3112406421,0.0373189288729484
6299.60524947437,0.0115391690347854
6707.73133546268,-0.0385409042913045
7142.29826900695,-0.103344543835147
7605.01904627058,-0.176493489050881
8097.71764154841,-0.25173484752265
8622.33619709351,-0.326514859204947
9180.94267874387,-0.399236908650848
9775.73902752641,-0.468634398466544
10409.0698393706,-0.532557946787565
11083.4316071457,-0.590911024472287
11801.4825614529,-0.643546666069904
12566.0531489618,-0.692113614361734
13380.1571895975,-0.73608294238726
14247.0037565557,-0.775826213113189
15170.0098259771,-0.813105862812037
16152.8137461428,-0.845402584161442
17199.2895792851,-0.874128469698624
18313.5623725461,-0.899909412522216
19500.0244182803,-0.924379057134849
20763.3525677978,-0.944738750274514
22108.5266667936,-0.961200880439198
23540.8491851354,-0.976737202352093
25065.9661183864,-0.990524756743058
26689.889243453,-1.00444115710691
28419.019816087,-1.01880829195676
30260.1738036533,-1.03324861388411
32220.6087526275,-1.0403661567812
34308.05239673,-1.05012235783791
36530.7331184669,-1.05951033752702
38897.4123841505,-1.07072684230899
41417.4192802558,-1.07843090888791
44100.6872872468,-1.08437674443136
46957.7934358328,-1.09460783009054
50000.0000000001,-1.10811098278751
