"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
1000,1028.84387207031
1023.53102189903,1030.6689453125
1047.61575278966,1054.46069335937
1072.26722201032,1088.90100097656
1097.49876549306,1143.25231933594
1123.32403297803,1139.69873046875
1149.75699539774,1165.98352050781
1176.811952435,1202.47448730469
1204.50354025878,1249.6337890625
1232.84673944207,1287.36291503906
1261.85688306602,1277.83203125
1291.54966501488,1307.40100097656
1321.94114846603,1337.71215820312
1353.04777457981,1388.12866210937
1384.88637139387,1400.6669921875
1417.4741629268,1443.35803222656
1450.82877849594,1446.9228515625
1484.96826225446,1490.68737792969
1519.91108295293,1535.69519042969
1555.67614393047,1570.57934570312
1592.28279334109,1617.33239746094
1629.75083462064,1663.77307128906
1668.10053720006,1692.783203125
1707.35264747069,1751.04638671875
1747.52840000768,1752.51831054687
1788.64952905743,1793.41137695312
1830.73828029537,1855.34094238281
1873.81742286038,1897.69836425781
1917.91026167248,1932.30456542969
1963.04065004027,1996.62426757812
2009.23300256504,2023.16857910156
2056.51230834865,2070.18041992187
2104.90414451202,2118.98852539062
2154.43469003188,2254.1416015625
2205.13073990304,2247.94311523437
2257.01971963391,2290.04248046875
2310.12970008315,2333.28247070312
2364.4894126454,2407.82763671875
2420.12826479438,2471.67456054687
2477.0763559917,2499.46606445312
2535.36449397011,2547.86401367187
2595.02421139973,2616.751953125
2656.08778294668,2658.58520507812
2718.58824273293,2721.50756835938
2782.55940220712,2784.74975585937
2848.03586843579,2831.56469726563
2915.05306282517,2917.52587890625
2983.64724028333,2985.990234375
3053.85550883341,3045.5966796875
3125.71584968823,3137.45849609375
3199.26713779737,3181.43994140625
3274.54916287772,3265.85498046875
3351.60265093883,3286.16430664062
3430.46928631491,3374.24609375
3511.19173421512,3464.01391601562
3593.81366380461,642.622497558594
3678.37977182862,3447.5361328125
3764.93580679245,3583.16650390625
3853.52859371051,3690.46020507812
3944.20605943764,34.0053787231445
4037.01725859654,92.5697326660156
4132.01240011532,44.9221458435059
4229.24287438948,80.1981658935547
4328.76128108304,54.7123527526855
4430.62145758386,80.2082138061523
4534.87850812856,81.6851806640625
4641.58883361276,94.7476043701172
4750.81016210278,100.760520935059
4862.60158006533,45.2475700378418
4977.02356433209,155.219329833984
5094.13801481636,63.5750923156738
5214.00828799966,63.676570892334
5336.69923120628,79.8587112426758
