"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,199.530776977539
103.495249706417,103.225311279297
107.112667117937,106.825546264648
110.856522300912,110.467590332031
114.731234571179,114.322700500488
118.741377710697,118.333892822266
122.891685366526,122.475715637207
127.187056638511,126.716087341309
131.632561862269,131.185485839844
136.23344859431,135.827499389648
140.995147806344,140.418609619141
145.923280296108,145.496826171875
151.023663322253,150.560043334961
156.302317471144,165.477478027344
161.765473763678,161.188232421875
167.419581010487,166.886993408203
173.271313424241,172.689147949219
179.327578498007,178.640289306641
185.595525158984,184.83903503418
192.082552207227,191.33935546875
198.796317049329,198.096710205078
205.744744737364,204.916961669922
212.936037323766,212.039031982422
220.378683543182,219.493850708008
228.081468832731,227.187286376953
236.053485702499,235.224533081055
244.304144468503,243.310775756836
252.843184360804,251.85270690918
261.680685019871,260.809753417969
270.827078394779,269.834747314453
280.293161057271,279.15478515625
290.090106946233,289.011291503906
300.229480557617,299.200042724609
310.723250595385,309.768951416016
321.58380409959,320.450225830078
332.823961068267,331.6611328125
344.456989590392,343.424194335937
356.496621507784,355.18017578125
368.957068624422,367.684509277344
381.853039482323,380.456207275391
395.199756723774,393.704681396484
409.012975060424,407.442962646484
423.308999870432,421.747436523437
438.104706445641,436.497650146484
453.417559911483,451.644683837891
469.265635843133,467.296142578125
485.667641602258,483.918212890625
502.642938419524,500.751159667969
520.21156424896,518.089294433594
538.39425742112,536.212341308594
557.212481123,555.057861328125
576.688448733571,574.364868164062
596.845150044874,594.67919921875
617.706378399583,615.325073242187
639.296758777116,636.959655761719
661.641776861408,659.013977050781
684.76780912469,681.850891113281
708.702153962761,706.179931640625
733.473063918517,730.941101074219
759.109779031779,756.383422851562
785.642561354772,782.2685546875
813.102730674014,810.200866699219
841.522701480769,838.553894042969
870.93602123371,867.892333984375
901.377409958964,897.5478515625
932.882801234266,929.109619140625
965.489384605624,961.948120117187
999.235649486542,995.506225585937
1034.16143059164,1030.26452636719
1070.30795495827,1066.48596191406
1107.71789061171,1103.64147949219
1146.43539693125,1141.74389648437
1186.50617677675,1181.65649414062
1227.97753043717,1223.55676269531
1270.89841146464,1265.66003417969
1315.31948446022,1309.99963378906
1361.29318487927,1355.67944335937
1408.87378092724,1403.75622558594
1458.11743761889,1453.12133789062
1509.08228307648,1503.68505859375
1561.8284771453,1556.10583496094
1616.41828240747,1610.24304199219
1672.91613767779,1665.95495605469
1731.38873406858,1725.06616210937
1791.90509371305,1785.46765136719
1854.53665124034,1846.7724609375
1919.35733809821,1912.01245117187
1986.44366982319,1978.43493652344
2055.87483636083,2038.83532714844
2127.73279554304,2061.8037109375
2202.1023698326,384.820129394531
2279.07134644918,148.305557250977
2358.73058099499,137.962738037109
2441.17410470239,81.362907409668
2526.49923543014,186.989532470703
2614.80669253914,159.843353271484
2706.2007157835,288.229125976562
2800.78918835698,797.243408203125
2898.6837642404,513.466491699219
2999.99999999997,202.204666137695

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,1.26313386264362
103.495249706417,1.40570630089224
107.112667117937,1.44240045308793
110.856522300912,1.47240438564082
114.731234571179,1.46185931212874
118.741377710697,1.43355056972699
122.891685366526,1.44289705578588
127.187056638511,1.45111974550423
131.632561862269,1.44635150566423
136.23344859431,1.4416911712685
140.995147806344,1.44845566914523
145.923280296108,1.40747411611007
151.023663322253,1.44063203715006
156.302317471144,1.42736723817875
161.765473763678,1.41360144233681
167.419581010487,1.44135469681736
173.271313424241,1.41039721016334
179.327578498007,1.41735096341779
185.595525158984,1.43234688817726
192.082552207227,1.40209229250865
198.796317049329,1.42948020809472
205.744744737364,1.35608626130511
212.936037323766,1.41772063578534
220.378683543182,1.39030751911263
228.081468832731,1.38572543219062
236.053485702499,1.37315275620383
244.304144468503,1.38568882207074
252.843184360804,1.39286005144139
261.680685019871,1.38127617264946
270.827078394779,1.35312221547197
280.293161057271,1.38520865198372
290.090106946233,1.34952584799395
300.229480557617,1.37121574287228
310.723250595385,1.34758002224701
321.58380409959,1.34048877725821
332.823961068267,1.3125393420661
344.456989590392,1.3478261027776
356.496621507784,1.3390873874671
368.957068624422,1.33019391036898
381.853039482323,1.23535592778432
395.199756723774,1.27453541058038
409.012975060424,1.29149299864514
423.308999870432,1.25817553715953
438.104706445641,1.24898493905065
453.417559911483,1.19374703769924
469.265635843133,1.20672708540323
485.667641602258,1.18094507485181
502.642938419524,1.16242294555447
520.21156424896,1.13759852395698
538.39425742112,1.1163544024683
557.212481123,1.069670778466
576.688448733571,1.03500306131925
596.845150044874,1.01956893790055
617.706378399583,0.965320680485517
639.296758777116,0.919094580395133
661.641776861408,0.856385196764909
684.76780912469,0.810686733696207
708.702153962761,0.722444607086077
733.473063918517,0.737388251199633
759.109779031779,0.621087948289642
785.642561354772,0.564919188994374
813.102730674014,0.439080340163114
841.522701480769,0.373450042703955
870.93602123371,0.304701969759286
901.377409958964,0.137955264090388
932.882801234266,0.000720907235864819
965.489384605624,-0.167064281443569
999.235649486542,-0.291197770282067
1034.16143059164,-0.461177240056959
1070.30795495827,-0.667928866310485
1107.71789061171,-0.946486244017099
1146.43539693125,-1.2087344733264
1186.50617677675,-1.43482420755026
1227.97753043717,-1.76938835517464
1270.89841146464,-2.13099238973863
1315.31948446022,-2.53047087181896
1361.29318487927,-2.99919582100173
1408.87378092724,-3.46034349775823
1458.11743761889,-4.046528872328
1509.08228307648,-4.65467137586555
1561.8284771453,-5.3724361348715
1616.41828240747,-6.19860254336772
1672.91613767779,-7.0794380413545
1731.38873406858,-8.12891260355795
1791.90509371305,-9.31835692322904
1854.53665124034,-10.6702161029671
1919.35733809821,-12.2948239913394
1986.44366982319,-14.332777503646
2055.87483636083,-16.8433506874976
2127.73279554304,-19.8835612709071
2202.1023698326,-23.8422020819948
2279.07134644918,-28.2252898743325
2358.73058099499,-27.1867222796472
2441.17410470239,-25.4545808157547
2526.49923543014,-22.7279821771035
2614.80669253914,-21.434571420154
2706.2007157835,-21.275625943839
2800.78918835698,-21.3968236754772
2898.6837642404,-22.4146291870501
2999.99999999997,-23.5930439190626

